LfdArtNr;artnr1;abez1;me;basis_me;anz_basis;anz_ve;ean_me;kn_ja;wgrupnr;sort1;sort2;warennr;gewicht_gr;gewicht;sb_ja;KopfLfdNr;ArtNr;ArtBez;VarTyp;VarBez;VarFarbe;kn_art
61442;3767-0;Hot Socks Lago, 4-fach;kg;10;10.00;10.00;NULL;1;7;99;"               3767-0";51099000;NULL;1;NULL;1625;3767-;Hot Socks Lago, 4-fach;Farbe;0;NULL;Längsknäuel
61443;3767-01;Hot Socks Lago, 4-fach;kg;10;10.00;10.00;4036014197852;1;7;99;"              3767-01";51099000;NULL;1;NULL;1625;3767-;Hot Socks Lago, 4-fach;Farbe;01;graugrün-pastellblau-camel-meliert;Längsknäuel
61444;3767-02;Hot Socks Lago, 4-fach;kg;10;10.00;10.00;4036014197883;1;7;99;"              3767-02";51099000;NULL;1;NULL;1625;3767-;Hot Socks Lago, 4-fach;Farbe;02;korallrot-hellrosa-honiggelb-meliert;Längsknäuel
61445;3767-03;Hot Socks Lago, 4-fach;kg;10;10.00;10.00;4036014197913;1;7;99;"              3767-03";51099000;NULL;1;NULL;1625;3767-;Hot Socks Lago, 4-fach;Farbe;03;zartgrün-lindgrün-olivgrün-meliert;Längsknäuel
61446;3767-04;Hot Socks Lago, 4-fach;kg;10;10.00;10.00;4036014197944;1;7;99;"              3767-04";51099000;NULL;1;NULL;1625;3767-;Hot Socks Lago, 4-fach;Farbe;04;schiefergrau-türkisblau-jeansblau-meliert;Längsknäuel
61447;3767-05;Hot Socks Lago, 4-fach;kg;10;10.00;10.00;4036014197975;1;7;99;"              3767-05";51099000;NULL;1;NULL;1625;3767-;Hot Socks Lago, 4-fach;Farbe;05;fuchsia-lila-korallrot-meliert;Längsknäuel
61448;3767-06;Hot Socks Lago, 4-fach;kg;10;10.00;10.00;4036014198002;1;7;99;"              3767-06";51099000;NULL;1;NULL;1625;3767-;Hot Socks Lago, 4-fach;Farbe;06;schiefergrau-stahl-blaugrau-meliert;Längsknäuel
61449;3767-07;Hot Socks Lago, 4-fach;kg;10;10.00;10.00;4036014198033;1;7;99;"              3767-07";51099000;NULL;1;NULL;1625;3767-;Hot Socks Lago, 4-fach;Farbe;07;jade-mais-zitronen-blassgelb-meliert;Längsknäuel
61450;3767-08;Hot Socks Lago, 4-fach;kg;10;10.00;10.00;4036014198064;1;7;99;"              3767-08";51099000;NULL;1;NULL;1625;3767-;Hot Socks Lago, 4-fach;Farbe;08;koralle-fuchsia-graublau-flieder-meliert;Längsknäuel
61478;3769-0;Hot Socks Lazise, 4-fach;kg;10;10.00;10.00;NULL;1;15;99;"               3769-0";51099000;NULL;1;NULL;1626;3769-;Hot Socks Lazise, 4-fach;Farbe;0;NULL;Längsknäuel
61479;3769-01;Hot Socks Lazise, 4-fach;kg;10;10.00;10.00;4036014198811;1;15;99;"              3769-01";51099000;NULL;1;NULL;1626;3769-;Hot Socks Lazise, 4-fach;Farbe;01;jeans-schiefergrau-lind-seegrün-flieder-meliert;Längsknäuel
73356;1000-APDF-732-D;Anleitung PDF Estate;Stück;1;1.00;1.00;4036014325637;NULL;4;99;"      1000-APDF-732-D";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-732-D;NULL;[leer]
73357;1000-APDF-733-D;Anleitung PDF Estate;Stück;1;1.00;1.00;4036014325644;NULL;4;99;"      1000-APDF-733-D";49119900;0;0;NULL;1789;1000-APDF;Anleitungen PDF;Anleitung;APDF-733-D;NULL;[leer]
73358;6392-00;Filzwolle Stella, 6 kg Sortiment;SORT;10;30.00;30.00;4036014325682;NULL;15;99;"              6392-00";51091090;200;6;NULL;1991;6392-00;Filzwolle Stella;Einzelartikel;00;NULL;Pulskin Längsknäuel
73361;6393-00;Nuvola, 6 kg Sortiment;SORT;10;30.00;30.00;4036014325705;NULL;15;99;"              6393-00";55112000;200;6;NULL;1992;6393-00;Nuvola;Einzelartikel;00;NULL;Längsknäuel
73362;6394-0;Raffinessa;kg;10;10.00;5.00;NULL;1;15;99;"               6394-0";55113000;NULL;1;NULL;1993;6394-;Raffinessa;Farbe;0;NULL;Kuchenknäuel
73363;6394-01;Raffinessa;kg;10;10.00;5.00;4036014325729;1;15;99;"              6394-01";55113000;NULL;1;NULL;1993;6394-;Raffinessa;Farbe;01;naturweiß;Kuchenknäuel
73364;6394-02;Raffinessa;kg;10;10.00;5.00;4036014325750;1;15;99;"              6394-02";55113000;NULL;1;NULL;1993;6394-;Raffinessa;Farbe;02;beige;Kuchenknäuel
73365;6394-03;Raffinessa;kg;10;10.00;5.00;4036014325781;1;15;99;"              6394-03";55113000;NULL;1;NULL;1993;6394-;Raffinessa;Farbe;03;hellbraun;Kuchenknäuel
73366;6394-04;Raffinessa;kg;10;10.00;5.00;4036014325811;1;15;99;"              6394-04";55113000;NULL;1;NULL;1993;6394-;Raffinessa;Farbe;04;schokolade;Kuchenknäuel
73367;6394-05;Raffinessa;kg;10;10.00;5.00;4036014325842;1;15;99;"              6394-05";55113000;NULL;1;NULL;1993;6394-;Raffinessa;Farbe;05;salbei;Kuchenknäuel
73368;6394-06;Raffinessa;kg;10;10.00;5.00;4036014325873;1;15;99;"              6394-06";55113000;NULL;1;NULL;1993;6394-;Raffinessa;Farbe;06;tannengrün;Kuchenknäuel
73369;6394-07;Raffinessa;kg;10;10.00;5.00;4036014325903;1;15;99;"              6394-07";55113000;NULL;1;NULL;1993;6394-;Raffinessa;Farbe;07;gelb;Kuchenknäuel
73370;6394-08;Raffinessa;kg;10;10.00;5.00;4036014325934;1;15;99;"              6394-08";55113000;NULL;1;NULL;1993;6394-;Raffinessa;Farbe;08;himbeere;Kuchenknäuel
73371;6394-09;Raffinessa;kg;10;10.00;5.00;4036014325965;1;15;99;"              6394-09";55113000;NULL;1;NULL;1993;6394-;Raffinessa;Farbe;09;kornblume;Kuchenknäuel
73372;6394-10;Raffinessa;kg;10;10.00;5.00;4036014325996;1;15;99;"              6394-10";55113000;NULL;1;NULL;1993;6394-;Raffinessa;Farbe;10;schwarz;Kuchenknäuel
73375;6395-00;Beach, 6 kg Sortiment;SORT;10;60.00;60.00;4036014326023;NULL;17;99;"              6395-00";55111000;100;6;NULL;2015;6395-00;Beach;Einzelartikel;00;NULL;Längsknäuel
